id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
516,46916,t,100578,,CA01299
517,5161,t,100582,,CA01302
518,7274,t,100586,,CA01310
519,5780,t,100587,,CA01311
515,5607,t,100510,,CA01319
514,1476,t,100510,,CA01452
522,934,t,100621,,CA01326
521,96517,t,100603,,CA01470
528,4043,t,100623,,CA01191
524,116218,t,100624,,CA01312
527,10429,t,100623,,CA01341
530,12144,t,100626,,CA01353
523,117922,t,100624,,CA01368
526,6260,t,100623,,CA01376
531,8698,t,100626,,CA01377
532,980,t,100626,,CA01378
525,955,t,100589,,CA01382
529,828,t,100623,,CA01432
533,980,f,,59,CA01379
534,1032,f,,59,CA01456
535,1520,f,100502,,CA01281
536,49343,f,100503,,CA01391
537,3071,f,100627,,CA01398
538,20212,f,,60,CA01387
539,10363,f,,61,CA01239
542,44815,t,100658,,CA01480
540,33695,t,100658,,CA01482
543,5000,t,100658,,CA01483
541,27426,t,100658,,CA01479
546,10363,t,100682,,CA01239
545,9598,t,100660,,CA01290
544,4803,t,100657,,CA01291
552,51039,t,100659,,CA01451
551,8869,t,100659,,CA01476
548,11901,t,,63,CA01271
556,21511,t,100702,,CA01438
555,4110,t,100700,,CA01449
547,4207,t,,62,CA01458
549,509,t,,64,CA01499
550,1479,t,,64,CA01503
557,1333,f,,67,CA01181
559,68592,f,,69,CA01464
560,5658,f,,69,CA01465
561,6493,t,100731,,CA01252
554,16466,t,,66,CA01367
553,3625,t,,65,CA01372
564,35610,t,100743,,CA01399
563,16297,t,100739,,CA01450
562,14541,t,100731,,CA01453
565,3028,t,100763,,CA01590
566,68592,t,100771,,CA01464
567,5658,t,100771,,CA01465
569,141133,t,,71,CA01515
571,973,t,100756,,CA01425
568,1572,t,,70,CA01545
572,129086,f,,73,CA01180
583,35338,t,100721,,CA01313
573,77931,t,100721,,CA01314
580,50003,t,100721,,CA01315
575,23969,t,100721,,CA01316
581,18124,t,100721,,CA01317
584,4195,t,100721,,CA01318
574,65248,t,100721,,CA01439
578,112081,t,100721,,CA01440
577,25805,t,100721,,CA01441
576,64152,t,100721,,CA01442
582,81327,t,100721,,CA01443
579,18762,t,100721,,CA01444
570,6295,t,,72,CA01272
585,36869,t,100726,,CA01646
558,129086,t,,68,CA01180
586,17338,t,100821,,CA01447
587,3530,t,100829,,CA01527
589,4235,t,100667,,CA01523
592,1790,t,100856,,CA01462
594,3500,t,100861,,CA01475
595,1661,t,100864,,CA01561
593,3519,t,100860,,CA01595
590,2510,t,,75,CA01599
591,614,t,100856,,CA01693
588,3624,t,,74,CA01528
599,1081,f,100886,,CA01723
597,1033,t,100880,,CA01354
601,3156,t,100889,,CA01457
596,17057,t,100878,,CA01533
598,4788,t,100883,,CA01725
600,45556,t,100887,,CA01740
