id,amt,pushed,bank_entry_id,cheque_entry_id,bill_id
464,36124,t,100819,,CB00517
460,26017,t,,116,CB00566
465,1395,t,100825,,CB00605
466,9814,t,100827,,CB00607
462,54714,t,,118,CB00611
463,2664,t,,118,CB00616
478,10313,t,100654,,CB00541
474,80223,t,100653,,CB00547
473,33202,t,100662,,CB00572
475,1121,t,100653,,CB00573
476,10816,t,100653,,CB00575
468,63563,t,100657,,CB00580
469,21378,t,100657,,CB00581
477,38187,t,100655,,CB00600
471,1684,t,100657,,CB00613
472,82376,t,100657,,CB00614
470,18614,t,100657,,CB00615
467,24758,t,,119,CB00513
479,4174,t,100772,,CB00610
481,64962,t,100756,,CB00582
482,46347,t,100756,,CB00583
480,21650,t,100764,,CB00593
484,17418,t,100748,,CB00621
483,22697,t,100748,,CB00622
486,1248,f,100787,,CB00724
485,2016,t,100787,,CB00651
487,5000,t,100762,,CB00678
488,5000,t,100791,,CB00678
495,2000,t,100652,,CB00567
496,2649,t,100658,,CB00567
499,40276,t,100665,,CB00588
509,5626,t,100680,,CB00599
500,58483,t,100665,,CB00601
501,1240,t,100665,,CB00602
502,45391,t,100668,,CB00618
489,2877,t,,120,CB00625
507,117,t,100680,,CB00626
498,73742,t,100660,,CB00627
503,29078,t,100668,,CB00641
508,17370,t,100680,,CB00642
497,71872,t,100660,,CB00643
491,58473,t,,121,CB00646
492,53692,t,,121,CB00647
493,2406,t,,121,CB00648
494,10291,t,,121,CB00649
504,16710,t,100679,,CB00652
505,32182,t,100679,,CB00653
506,11727,t,100679,,CB00654
490,9637,t,,120,CB00655
510,19547,t,100685,,CB00694
511,29748,t,100743,,CB00677
514,9493,t,100745,,CB00678
516,40527,t,100771,,CB00703
515,52095,t,100771,,CB00705
513,2737,t,100744,,CB00630
520,89681,t,100771,,CB00656
519,29776,t,100771,,CB00668
512,12122,t,100743,,CB00686
517,8422,t,100771,,CB00702
518,44663,t,100771,,CB00704
524,9609,t,100795,,CB00744
521,21350,t,,122,CB00635
522,10487,t,,123,CB00670
523,2000,t,,124,CB00644
528,19591,t,100797,,CB00660
526,70630,t,100792,,CB00729
525,12119,t,100792,,CB00742
527,3945,t,100796,,CB00775
530,26986,t,100889,,CB00560
531,112120,t,100889,,CB00569
529,23140,t,100889,,CB00589
532,14033,t,100893,,CB00676
533,42667,t,100894,,CB00706
534,104979,t,100810,,CB00709
535,44103,t,100810,,CB00710
536,56664,t,100831,,CB00725
540,5879,t,100803,,CB00675
537,2000,t,100799,,CB00697
538,2000,t,100800,,CB00697
539,1137,t,100801,,CB00697
541,5167,t,100808,,CB00701
545,21828,t,100836,,CB00669
542,5129,t,,125,CB00696
547,13456,t,100851,,CB00719
548,27842,t,100851,,CB00721
544,72848,t,,127,CB00727
546,10555,t,100839,,CB00732
543,12745,t,,126,CB00746
553,5631,f,,129,CB00645
549,36843,t,,128,CB00681
550,102966,t,,128,CB00682
551,3153,t,,128,CB00683
552,18475,t,,128,CB00685
555,23673,t,100868,,CB00707
556,33427,t,100869,,CB00708
558,21325,t,100667,,CB00720
557,35944,t,100664,,CB00723
559,5400,t,100833,,CB00731
554,11095,t,100650,,CB00773
560,6668,t,100798,,CB00570
562,5631,t,100971,,CB00645
561,5521,t,100970,,CB00674
563,8398,t,100972,,CB00730
566,1838,t,,132,CB00644
564,3216,t,,130,CB00661
565,6874,t,,131,CB00680
571,39014,t,,135,CB00688
570,26040,t,,135,CB00689
567,91725,t,,133,CB00693
568,2105,t,,133,CB00700
576,35691,t,100904,,CB00759
578,18967,t,100905,,CB00767
577,49972,t,100904,,CB00771
579,770,t,100905,,CB00772
575,9033,t,100899,,CB00783
569,2248,t,,134,CB00711
572,39241,t,,136,CB00684
573,24823,t,,136,CB00748
574,45847,t,,136,CB00756
581,6565,t,100873,,CB00687
580,6000,t,100914,,CB00740
588,71040,f,,140,CB00690
589,982,t,100921,,CB00636
592,8950,t,100918,,CB00673
587,18046,t,,139,CB00679
591,1718,t,100919,,CB00713
582,47040,t,,137,CB00726
584,64495,t,,138,CB00733
585,14797,t,,138,CB00734
586,1553,t,,138,CB00735
583,25267,t,,137,CB00737
590,20574,t,100920,,CB00768
593,67392,f,,141,CB00664
594,4352,f,,141,CB00665
595,3003,f,,141,CB00712
596,69071,f,,141,CB00761
597,24497,f,,141,CB00798
598,11535,f,,142,CB00657
599,12660,f,,142,CB00743
600,7680,f,,143,CB00695
605,39363,t,100937,,CB00691
606,2062,t,100938,,CB00728
601,12770,t,100930,,CB00752
602,59977,t,100933,,CB00754
603,42042,t,100933,,CB00755
607,7956,t,100941,,CB00806
604,28059,t,100934,,CB00830
608,8108,f,,144,CB00760
609,14019,f,,145,CB00714
